Index,Time,GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,H,R,P
77,1459120905,0.0149536,-1.13647,6.21323,-0.107788,-0.0889893,1.0011,0.25326,0.21742,-0.19656,240.847,-7.55629,5.67646
78,1459120905,-0.755157,-0.650482,6.48239,-0.0766602,-0.139954,0.988708,0.2562,0.23268,-0.19152,240.282,-7.60615,5.55302
79,1459120905,-0.224304,-1.46545,7.08054,-0.0898438,-0.160645,1.00055,0.26236,0.19068,-0.19348,239.673,-7.75913,5.51059
80,1459120906,1.06171,0.493469,6.01135,-0.118958,-0.131287,1.01208,0.22022,0.17108,-0.17178,239.18,-7.72177,5.63204
81,1459120906,-1.08414,-0.254211,5.30853,-0.0916138,-0.136047,1.01068,0.24766,0.16128,-0.12586,238.605,-7.71617,5.58622
82,1459120906,-0.209351,-3.20755,6.3179,-0.0828857,-0.14209,0.981873,0.25046,0.16996,-0.19516,238.039,-7.7673,5.51128
83,1459120906,0.112152,0.194397,7.85812,-0.100952,-0.164612,0.992554,0.24206,0.12572,-0.12866,237.461,-7.93234,5.54083
84,1459120906,1.18881,-0.276642,5.95901,-0.111389,-0.103455,1.02258,0.24416,0.1316,-0.19922,236.889,-7.71251,5.61013
85,1459120907,-1.60751,-1.71967,4.92722,-0.0705566,-0.127075,0.980347,0.23982,0.13496,-0.19936,236.341,-7.68037,5.46351
86,1459120907,1.02432,-2.24304,6.05621,-0.097168,-0.16626,0.989319,0.19712,0.15568,-0.20832,235.944,-7.86589,5.47801
87,1459120907,-0.590668,-0.321503,7.25998,-0.106384,-0.142639,0.997314,0.21826,0.0952,-0.12432,235.425,-7.89329,5.53922
88,1459120907,-0.755157,-1.0318,6.1908,-0.09021,-0.105957,1.0108,0.19054,0.09436,-0.19096,234.987,-7.70056,5.49473
89,1459120907,0.0747681,-2.45987,6.78894,-0.0830688,-0.147156,0.996338,0.20832,0.09548,-0.1309,234.504,-7.7707,5.422
90,1459120908,-0.0822449,-1.09909,8.1572,-0.110352,-0.174805,1.0072,0.21196,0.1218,-0.17472,234.045,-7.98109,5.5059
91,1459120908,-0.777588,-1.10657,6.25809,-0.109741,-0.0913696,0.999268,0.2128,0.0854,-0.19726,233.545,-7.70664,5.58219
92,1459120908,-1.7421,0.134583,6.84875,-0.0910034,-0.121765,1.0094,0.1904,0.07602,-0.20608,233.1,-7.62315,5.53874
93,1459120908,0.239258,-3.20007,6.5123,-0.09375,-0.147339,0.989746,0.19642,0.11774,-0.20678,232.693,-7.70696,5.52608
94,1459120908,0,1.06918,7.1254,-0.126099,-0.14917,1.01434,0.1813,0.07028,-0.2044,232.272,-7.7739,5.68474
95,1459120909,0.0822449,-0.964508,4.3515,-0.0996704,-0.0903931,1.00317,0.15344,0.09436,-0.16324,231.962,-7.51196,5.68366
96,1459120909,-1.79443,-3.34213,5.89172,-0.0921631,-0.151611,0.978577,0.18508,0.05894,-0.1421,231.519,-7.63926,5.65394
97,1459120909,0.628052,-2.24304,6.54968,-0.110413,-0.159363,0.993774,0.17318,0.05866,-0.20622,231.11,-7.78628,5.72232
98,1459120909,2.15332,1.71967,5.88425,-0.129272,-0.123108,1.04602,0.17514,0.04718,-0.14896,230.683,-7.67448,5.86065
99,1459120910,-0.971985,-0.897217,3.40195,-0.0889282,-0.102173,0.981689,0.16744,0.08092,-0.20776,230.325,-7.50505,5.79355
